goos: darwin
goarch: arm64
pkg: github.com/axonops/fuzzymatch
cpu: Apple M2
BenchmarkAlgoID_String-8                                           	431778087	         2.667 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	448825479	         2.669 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	448875145	         2.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	445103650	         2.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	449345079	         2.684 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	444954219	         2.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	445197913	         2.694 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	451434078	         2.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	444520725	         2.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlgoID_String-8                                           	445068776	         2.703 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5122998	       235.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5081420	       233.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5097974	       233.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5140468	       234.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 4682097	       235.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5141066	       232.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5143951	       234.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5065947	       235.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5116974	       235.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Short-8                                 	 5086393	       233.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCosineScore_ASCII_Medium-8                                	  216368	      5465 ns/op	    7888 B/op	       7 allocs/op
BenchmarkCosineScore_ASCII_Medium-8                                	  219051	      5479 ns/op	    7888 B/op	       7 allocs/op
